target,source,weight
22시,우니추가,0.14285714285714285
1시,모나카,0.015015015015015015
1시,우니한판,0.012345679012345678
1시,왕새우 튀김,0.018518518518518517
1시,우삼겹숙주볶음,0.008645533141210375
1시,오늘의초밥,0.00796812749003984
1시,닭가라아케,0.010727056019070322
1시,나가사키짬뽕,0.015180265654648957
1시,명란구이,0.022448979591836733
1시,파인샤벳,0.024926686217008796
1시,먹태구이,0.0106951871657754
1시,육사시미,0.0205761316872428
1시,알탕,0.010050251256281407
1시,가쓰오우동,0.027586206896551724
1시,오뎅나베,0.012805587892898719
1시,모듬고로케,0.006968641114982578
1시,새우관자버터야끼,0.01639344262295082
1시,단새우,0.034482758620689655
1시,육회,0.021505376344086023
1시,육회덮밥,0.02857142857142857
1시,단새우&우니,0.010416666666666666
1시,타코와사비,0.0319634703196347
1시,메로구이,0.01972386587771203
1시,매운해물짬뽕,0.01284796573875803
1시,진미깡,0.02608695652173913
1시,1인사시미,0.028901734104046242
1시,연어머리구이,0.012048192771084338
1시,도미머리구이,0.008771929824561403
1시,우니추가,0.05714285714285714
2시,나가사키짬뽕,0.0009487666034155598
